"id","diocese_id","code","alias","name","type","responsible","description","email","phone","url","picture","tags","phone_original","phone_international","phone_national","community_type","common_name"
395,826,"aa/13/les-saintes-maries-de-la-mer","101053","Les Saintes Maries de la Mer","Paroisse","P. Prunier"," ","contact@sanctuaire-des-saintesmaries.fr","+33490978025",,,,"04 90 97 80 25","+33 4 90 97 80 25","04 90 97 80 25","PARISH",
396,826,"aa/13/marignane","101057","Marignane - Saint Victoret","Paroisse","P. De FLEURIAN"," ","paroissemarignane@gmail.com","+33442886069","http://paroisses-aixarles.fr/marignane/",,,"04 42 88 60 69","+33 4 42 88 60 69","04 42 88 60 69","PARISH",
397,826,"aa/13/martigues","101058","Martigues","Paroisse","P. DELABRE"," ","accueilparoisse.m@gmail.com","+33442421065","http://www.paroissedemartigues.com",,,"04 42 42 10 65","+33 4 42 42 10 65","04 42 42 10 65","PARISH",
398,826,"aa/13/orgon","101070","Orgon","Paroisse","P. ROLLAND"," ",,"+33490730128",,,,"04 90 73 01 28","+33 4 90 73 01 28","04 90 73 01 28","PARISH",
399,826,"aa/13/paroisse-vitrolles","13465q","Paroisse VITROLLES","Paroisse",,"",,"+33442893214",,,,"04 42 89 32 14","+33 4 42 89 32 14","04 42 89 32 14","PARISH",
400,826,"aa/13/mallemort","101056","Paroisses regroupées Alleins/Charleval/Mallemort/Vernègues","Paroisse",," ","pfabrice2001@gmail.com","+33687804085",,,,"06 87 80 40 85","+33 6 87 80 40 85","06 87 80 40 85","PARISH",
401,826,"aa/13/berre-l-etang","101007","Paroisses regroupées Berre/Rognac","Paroisse","P. Régis Curral"," ","paroissedeberreletang@gmail.com","+33442854118",,,,"04 42 85 41 18","+33 4 42 85 41 18","04 42 85 41 18","PARISH",
402,826,"aa/13/chateaurenard","101017","Paroisses regroupées Châteaurenard/Eyragues/Noves","Unité pastorale","P. Maurice ROLLAND"," ","paroisseschanovey@gmail.com","+33490941345",,,,"04 90 94 13 45","+33 4 90 94 13 45","04 90 94 13 45","PARISH",
403,826,"aa/13/gignac-le-nerthe","101030","Paroisses regroupées Gignac / Le Rove / Ensuès ","Paroisse","P. Henri DE MENOU","Mail :&nbsp;gignac.rove.ensues@outlook.fr","paroisse.gignac.lerove@gmail.com","+33442884619","http://www.paroisses-gignac-lerove-ensues.fr",,,"04 42 88 46 19","+33 4 42 88 46 19","04 42 88 46 19","PARISH",
404,826,"aa/13/le-tholonet","101049","Paroisses regroupées Le Tholonet/ Beaurecueil / Saint Antonin","Paroisse",," ","luc-marie.lalanne@orange.fr","+33442669162",,,,"04 42 66 91 62","+33 4 42 66 91 62","04 42 66 91 62","PARISH",
405,826,"aa/13/les-milles","101051","Paroisses regroupées Les Milles/Luynes/Duranne","Paroisse","Père Henri De MENOU"," ","paroisse.luynes.milles.duranne@gmail.com","+33442242161","http://www.paroisses-luynes-milles-duranne.fr",,,"04 42 24 21 61","+33 4 42 24 21 61","04 42 24 21 61","PARISH",
406,826,"aa/13/miramas","101063","Paroisses regroupées Miramas/ Miramas le Vieux / Entressen","Unité pastorale","P. Xavier Michaux"," ","paroissemiramas@orange.fr","+33490582274","http://paroisse-miramas.com",,,"04 90 58 22 74","+33 4 90 58 22 74","04 90 58 22 74","PARISH",
407,826,"aa/13/port-saint-louis-du-rhone","101076","Paroisses regroupées Port Saint Louis du Rhone/ Salin de Giraud / Le Sambuc","Paroisse","P. ASSALE"," ","paroisse.psl@orange.fr","+33442860683",,,,"04 42 86 06 83","+33 4 42 86 06 83","04 42 86 06 83","PARISH",
408,826,"aa/13/pelissanne","101071","Paroisses regroupées Pélissanne/Lançon/Aurons/La Barben","Paroisse",," ",,"+33490550263","http://paroisses-aixarles.fr/pabl/",,,"04 90 55 02 63","+33 4 90 55 02 63","04 90 55 02 63","PARISH",
409,826,"aa/13/saint-chamas","101089","Paroisses regroupées Saint Chamas / Cornillon Confoux","Paroisse","P. Jean-Michel FIN"," ","paroissesaintchamas@outlook.fr","+33490509425",,,,"04 90 50 94 25","+33 4 90 50 94 25","04 90 50 94 25","PARISH",
410,826,"aa/13/port-de-bouc","101075","Port de Bouc","Paroisse",," ","accueilparoisse.pdb@gmail.com","+33442062234",,,,"04 42 06 22 34","+33 4 42 06 22 34","04 42 06 22 34","PARISH",
411,826,"aa/13/puyricard","101079","Puyricard - Venelles","Unité pastorale","P. Gallay"," ",,"+33442921004","http://cathovenelles.fr",,,"04 42 92 10 04","+33 4 42 92 10 04","04 42 92 10 04","PARISH",
412,826,"aa/13/saint-francois-d-assise","101092","Saint Francois d'Assise","Paroisse","P. Wauquier"," ","sfaaix@gmail.com","+33442201551","http://saintfrancoisassiseaix.org",,,"0442201551","+33 4 42 20 15 51","04 42 20 15 51","PARISH",
413,826,"aa/13/saint-jean-de-malte","101093","Saint Jean de Malte","Paroisse","Frère Daniel Bourgeois"," ","paroissesaintjeandemalte@gmail.com","+33442382570","http://moinesdiocesains-aix.cef.fr",,,"0442382570","+33 4 42 38 25 70","04 42 38 25 70","PARISH",
895,831,"aj/20/corte","106030","Corte","Paroisse",," ",,,,,,,,,"PARISH",
414,826,"aa/13/saint-paul","101098","Saint Paul","Paroisse","P. Veyrune"," ","saintpaulaix@gmail.com","+33442595909","http://paroisses-aixarles.fr/aix-saintpaul/",,,"04 42 59 59 09","+33 4 42 59 59 09","04 42 59 59 09","PARISH",
415,826,"aa/13/septemes-les-vallons","101107","Septemes les Vallons","Paroisse",," ","paroisse.steanne@hotmail.fr","+33491511167",,,,"0491511167","+33 4 91 51 11 67","04 91 51 11 67","PARISH",
416,826,"aa/13/simiane-collongue","101108","Simiane Collongues","Paroisse","Père Del Prete"," ","paroisse.simiane@free.fr","+33442226233",,,,"0442226233","+33 4 42 22 62 33","04 42 22 62 33","PARISH",
417,826,"aa/13/biver","101008","UP étoile Saint-Michel","Paroisse",," ","up.etoilesaintmichel@orange.fr","+33442584160","http://etoilesaintmichel.cef.fr",,,"04 42 58 41 60","+33 4 42 58 41 60","04 42 58 41 60","PARISH",
418,826,"aa/13/istres","101033","Unité Paroisse Saint Blaise","Paroisse","P. Jean-François NOEL"," ","jeanfrancois.noel@wanadoo.fr","+33442550072",,,,"04.42.55.00.72","+33 4 42 55 00 72","04 42 55 00 72","PARISH",
419,826,"aa/13/peyrolles","101073","Unité Pastorale Aix- Val de Durance","Unité pastorale","Père Michel Isoard","L&#39;unité pastorale Aix Val de Durance (UPAVD) est constituée des différentes paroisses, le long de cette rivière: Le Puy Sainte Réparade, Jouques, Meyrargues, Peyrolles en Provence, Saint Estève-Janson, Saint Paul lez Durance.Le secrétariat des paroisses de l&#39;Unité Pastorale Aix val de Durance est ouvert du lundi au vendredi de 9h à 12h &nbsp;et le jeudi de 14h à 17h. &nbsp; Tél : 04 42 57 80 40Pour les obsèques en dehors de ces horaires appelez le : 04 42 61 95 32","upavd@wanadoo.fr","+33442578040","http://www.upavd.fr","http://lh3.googleusercontent.com/mPyFN8p2FD_Y2R45qI5cnRRyF_TqY3OkXLcpcoq5e_YG7-e6v-uiW065aHHxzg_Go2YKdop0kudRfNFqmnzCM38",,"0442578040","+33 4 42 57 80 40","04 42 57 80 40","PARISH",
420,826,"aa/13/maussane-les-alpilles","101061","Unité pastorale - Vallée des Baux","Unité pastorale","Père Joseph Vettoonickal","Web : http://paroisses-aixarles.fr/valleedesbaux/

","updesalpilles@gmail.com","+33490543023","http://paroisses-aixarles.fr/valleedesbaux/","http://lh3.googleusercontent.com/W3dVdOvLPXiTdJrc5-rcVyVtCSqVV8Qex8gpJuKalHvfLPcxBa_ClWBAVWZo_gVpJa8fMSVsQaN1YfHYybU0NQA",,"04.90.54.30.23","+33 4 90 54 30 23","04 90 54 30 23","PARISH",
421,826,"aa/13/peynier","101072","Unité pastorale Auréliens - Sainte Victoire","Unité pastorale","Michel Pierre Morin","Equipe de conduite pastorale&nbsp;:Père Michel-Pierre Morin, Corinne Luciani et Eric AudoPermanence du mardi au samedi de 10h00 à 12h00&nbsp;&nbsp;Messe tous les dimanches :10h30 église de Trets","up.saintevictoire@gmail.com","+33442292011","http://www.catholiques-trets-sainte-victoire.fr/","http://lh3.googleusercontent.com/sTsjtmwDG3HDeQxyGIlZcqBVTXGz4UaLclytDmuWtdRGSuEJ_mqKrzEdZ4R2JsNNea0KmZovhaAUbiqutoxo9tA",,"04 42 29 20 11","+33 4 42 29 20 11","04 42 29 20 11","PARISH",
422,826,"aa/13/lamanon","101040","Unité pastorale ELSA","Paroisse","P. Christophe NOWAK"," ","paroisse.elsa@free.fr","+33490595061","http://paroisseelsa.free.fr",,,"04 90 59 50 61","+33 4 90 59 50 61","04 90 59 50 61","PARISH",
423,826,"aa/13/lambesc","101041","Unité pastorale Les Trois Pierres","Unité pastorale","P Jean-Luc Michel"," ","secretariat.up3pierres@orange.fr","+33442570101","http://www.lestroispierres.org",,,"04 42 57 01 01","+33 4 42 57 01 01","04 42 57 01 01","PARISH",
424,826,"aa/13/sausset-les-pins","101120","Unité pastorale ND de la côte bleue","Unité pastorale","P. Demuynck","email du curé :&nbsp;philippe-arthur@laposte.net","unitepastoralecb@orange.fr","+33442446836","http://paroisses-aixarles.fr/up-cote-bleue/",,,"04 42 44 68 36","+33 4 42 44 68 36","04 42 44 68 36","PARISH",
425,826,"aa/13/coudoux","101019","Unité pastorale Roquepertuse","Unité pastorale","P. MICHAUD"," ","adcoudoux@wanadoo.fr","+33442520061",,,,"04.42.52.00.61","+33 4 42 52 00 61","04 42 52 00 61","PARISH",
426,826,"aa/13/graveson","101032","Unité pastorale Saint Michel","Paroisse",,"Secrétariat de l&#39;Unité Pastorale 17, Rue de la Poste 13690 GravesonPermanence du lundi au vendredi de 9h00 à 12h00Secrétariat du mardi au jeudi de 14h00 à 18h00","saintmichel.paroisse@gmail.com","+33490955229","http://upsaintmichel.fr/",,,"04 90 95 52 29","+33 4 90 95 52 29","04 90 95 52 29","PARISH",
427,826,"aa/13/lansac","101043","Unité pastorale Sainte Marthe","Paroisse","P. Michel Savalli"," ","paroisse.tarascon@neuf.fr","+33490910950","http://paroisse-de-tarascon.com",,,"04 90 91 09 50","+33 4 90 91 09 50","04 90 91 09 50","PARISH",
428,826,"aa/13/salon-de-provence","101105","Unité pastorale Salon / Grans","Unité pastorale","P. Brice DE ROUX"," ","paroissesalon13@gmail.com","+33490562615","http://paroissesalongrans.fr/",,,"04 90 56 26 15","+33 4 90 56 26 15","04 90 56 26 15","PARISH",
429,826,"aa/13/saint-remy-de-provence","101101","Unité pastorale de Saint Remy de Provence","Paroisse","P. Marc Diatta"," ","upsaintremy@free.fr","+33490921051","http://upsaintremy.free.fr",,,"04 90 92 10 51","+33 4 90 92 10 51","04 90 92 10 51","PARISH",
430,826,"aa/13/saint-martin-de-crau","101096","Unité pastorale de la Crau","Unité pastorale","P. Sanchez"," ","updelacrau@sfr.fr","+33490473994",,,,"04 90 47 39 94","+33 4 90 47 39 94","04 90 47 39 94","PARISH",
487,828,"ac/71/paroisse-sainte-jeanne-de-chantal","103053","Paroisse Sainte Jeanne de Chantal","Paroisse",,"Ouverture du Secrétariat (derrière l&#39;église)Mardi 9h30 à 12h Mercredi 9h30 à 12h - 14h à 17hJeudi 9h30 à 12h - 14h à 17hVendredi 9h30 à 12hSamedi 9h30 à 12h","sainte-jeanne-chantal@wanadoo.fr","+33385822401","http://sainte-jeanne-chantal.blogspot.fr/","http://lh3.ggpht.com/OP1MnRs6wlZIegfGL_4itZQFDnikHqs_Gq8rQoBbKIaaLuveOoOE0hjALnS7P_jY0c7VlDhF3B9BgJYdnbyq1CWTfn-pzfWlVbAAfu-tlw",,"03 85 82 24 01","+33 3 85 82 24 01","03 85 82 24 01","PARISH",
488,828,"ac/71/paroisse-sainte-marie-madeleine-en-charolais","103054","Paroisse Sainte Marie Madeleine en Charolais","Paroisse",," ","paroisse.charolles@wanadoo.fr","+33385241093",,,,"03 85 24 10 93","+33 3 85 24 10 93","03 85 24 10 93","PARISH",
489,828,"ac/71/paroisse-sainte-marie-sous-dun","103055","Paroisse Sainte Marie sous Dun","Paroisse",," ","paroisse-stemarie@orange.fr","+33385280767",,,,"03 85 28 07 67","+33 3 85 28 07 67","03 85 28 07 67","PARISH",
490,828,"ac/71/autun2-sainte-therese-de-l-enfant-jesus","ac/71/paroisse-sainte-therese-de-l-enfant-jesus","Paroisse Sainte Therese de l'Enfant Jesus","Paroisse",," ","stethereseparoisse@orange.fr","+33385852617",,,,"03 85 85 26 17","+33 3 85 85 26 17","03 85 85 26 17","PARISH",
491,828,"ac/71/paroisse-de-cluny-saint-benoit","103011","Paroisse de Cluny Saint Benoît","Paroisse",," ","paroisse-cluny@orange.fr","+33385590718",,,,"03 85 59 07 18","+33 3 85 59 07 18","03 85 59 07 18","PARISH",
492,828,"ac/71/paroisse-de-saint-marcel","103020","Paroisse de Saint Marcel","Paroisse",," ","par.saintmarcel@wanadoo.fr","+33385965380",,,,"03 85 96 53 80","+33 3 85 96 53 80","03 85 96 53 80","PARISH",
493,828,"ac/71/paroisse-de-l-epiphanie","103015","Paroisse de l'Epiphanie","Paroisse",," ","paroisse.epiphanie@orange.fr","+33385550497",,,,"03 85 55 04 97","+33 3 85 55 04 97","03 85 55 04 97","PARISH",
494,828,"ac/71/paroisse-de-la-nativite","103012","Paroisse de la Nativité","Paroisse",," ","paroisse.nativite@orange.fr","+33385260292",,,,"03 85 26 02 92","+33 3 85 26 02 92","03 85 26 02 92","PARISH",
495,828,"ac/71/paroisse-de-la-sainte-famille-en-nord-charollais","103013","Paroisse de la Sainte Famille en Nord Charollais","Paroisse",," ",,"+33385792036",,,,"03 85 79 20 36","+33 3 85 79 20 36","03 85 79 20 36","PARISH",
3655,872,"ga/05/eyguians","142049","Eyguians","Paroisse",,,,,"",,,,,,"PARISH",
433,827,"ab/81/alban","102002","ALBAN","Paroisse",,"Secteur Pastoral Alban – Le Fraysse – Montfranc - Villefranche► Alban Tel : 05 63 55 82 34secrétariat ouvert : mardi 8h-12h & Jeudi 8h-12hMèl : secretariatalban@orange.fr► Montfranc&nbsp; : 05 65 99 66 72► Villefranche d’Albigeois : 05 63 55 35 63 ","secretariatalban@orange.fr",,,,,,,,"PARISH",
434,827,"ab/81/brassac","102006","BRASSAC VABRE LACROUZETTE","Paroisse",,"► Brassac :14 Place St-Georges 81260 Brassac05 63 74 01 70Permanencemardi et vendredi10h - 12h►Lacrouzette : 05 63 50 60 13Permanence&nbsp; le vendredi de 8H30 à midi ",,,,,,,,,"PARISH",
435,827,"ab/81/carmaux","102052","CARMAUX","Paroisse",,"Tél : 05 63 76 51 88Permanence:mardi, mercredi, jeudi, vendredi, samedi de 9h30 à 12h00Messes en semaine, Saint-­PrivatMardi, Mercredi, Jeudi : 8h30Vendredi à 17h00 - Samedi à 12h00Prêtres&nbsp;

 Curé : Père Xavier CormaryVicaire&nbsp;: Père Eric Alabi, prêtre étudiant
Prêtre auxiliaire&nbsp;: Père Gérard Soulié

Prêtres retirés dans le secteur&nbsp;:
P Damien Puech
P Claude Maraval","paroisse.carmaux@gmail.com",,"http://carmaux.catholique.fr/",,,,,,"PARISH",
436,827,"ab/81/castres","102303","CASTRES","Paroisse",,"Permanence39-41 bd Clemenceau - 81100 CastresLundi au vendredide 9h à 12h et de 14h à 18hSamedi de 9h30 à 12hTel : 05 63 70 32 05Messes en semaine 2017-2018 St Benoît (2 rue de l’Hôtel de ville) (du lundi au jeudi)&nbsp;⇒ 18h00Notre Dame d’Espérance (1 Bd Giraud) (mercredi sauf en août) ⇒ 17h00Centre Œcuménique de Lameilhé  (Rue Van Gogh) (tous les 1er vendredis du mois) ⇒ 8h30Saint Jean Saint Louis (Place Pierre Fabre, anciennement Place de l’Albinque) du lundi au vendredi (Vendredi : adoration eucharistique à 17h30 + confessions) ⇒ 18h15Couvent Bleu (Rue Émilie de Villeneuve) (du lundi au samedi) ⇒ 11h00","eglise.catholique.castres@orange.fr",,"http://www.pays-castrais.catholique.fr/",,,,,,"PARISH",
437,827,"ab/81/cordes","102012","CORDES","Paroisse",,"Tél : 05 63 56 00 15****************************************Centre Pastoral Horaires du secrétariat : Lundi, mardi et vendredi de 9h00 à 12h00 et de14h00 à 17h00, jeudi de 9h00 à 12h00. ","centre.pastoral.cordes@wanadoo.fr",,,,,,,,"PARISH",
438,827,"ab/albi-nord","AB_54","Ensemble Paroissial Sainte Madeleine et les Saints Apôtres (Albi Nord)","Paroisse",,"- Secrétariat : Cantepau : 05 63 60 62 45Lundi au jeudi 9h à 12h et 14h à 18hVendredi 9h30 à 11h30- Courriel : madeleinesaintsapotres@gmail.com &nbsp;Permanence à St Juéry :mercredi au vendredi : 9h30/11h3005 63 55 11 27Messe de semaine de la paroisseà 18h15 du lundi au vendredi, chapelle Charles de Foucauld

","madeleinesaintsapotres@gmail.com",,,,,,,,"PARISH",
439,827,"ab/81/gaillac","102305","GAILLAC","Paroisse",,"Tél : 05 63 57 04 34Secrétariatdu Lundi au Vendredi10h - 12 h et 15h30 - 18hSamedi 10h - 12h ","paroisse.gaillac@orange.fr",,,,,,,,"PARISH",
440,827,"ab/81/graulhet","102017","GRAULHET","Paroisse",,"

Permanences&nbsp;:- Graulhet&nbsp;: Centre Paroissial, 10, rue Bosquet - Téléphone&nbsp;: 05 63 34 62 01
Le secrétariat est ouvert du lundi au vendredi de 8h à 12h.Une permanence est également assurée par des bénévoles les lundis, mercredis, jeudis et samedis de 10h30 à 12h.&nbsp;Briatexte&nbsp;: 13 avenue Abel RollandTéléphone 05 63 40 86 51
Lundi et Samedi de 10h à 12h

 ","paroissegb@gmail.com",,"http://www.graulhet.catholique.fr/",,,,,,"PARISH",
441,827,"ab/albi-peripherie","AB_55","LA DRECHE-CAGNAC-TAÏX","Paroisse",,"Permanence&nbsp; Notre Dame de La Drèchedu lundi au samedi de 9h à 12h et de 14h à 17h ",,"+33563537500",,,,"05 63 53 75 00","+33 5 63 53 75 00","05 63 53 75 00","PARISH",
442,827,"ab/81/labastide-rouairoux","102018","LABASTIDE ROUAIROUX","Paroisse",,"Secrétariat&nbsp;: 61, rue Crouzet - 81270 Labastide-Rouairoux
Tel&nbsp;: 05 63 98 01 02&nbsp; Permanences : Mardi au vendredi de 8h à 12hSamedi de 9h à 12hMardi am de 14h à 16hJeudi, vendredi am de 14h à 17h ","secteurpastoralvalleethore@outlook.fr",,,,,,,,"PARISH",
443,827,"ab/81/labruguiere","102019","LABRUGUIERE","Paroisse",,"05 63 50 20 71Permanencemercredi : 9h00 - 12h et 14h - 17h30

jeudi et vendredi : 9h - 12h et 14h - 16h30","paroisselabruguiere@orange.fr",,,,,,,,"PARISH",
444,827,"ab/81/lacaune","102020","LACAUNE","Paroisse",,"Lundi, mardi, vendredi10-12h/14h-16h00 ",,"+33563370054",,,,"05 63 37 00 54","+33 5 63 37 00 54","05 63 37 00 54","PARISH",
445,827,"ab/81/lavaur","102025","LAVAUR","Paroisse",,"05 63 58 06 37► Permanence de l&#39;année :Ouvert, hors vacances scolaires :- Les matins du lundi au samedi - de 9h à 12h- Les après-midi - du lundi au vendredi - de 14h à 17hFermé les après midis durant les vacances scolaires.Facebook : Paroisse de Lavaurou Joseph Dequick ","paroisse.de.lavaur@orange.fr",,"http://lavaur.catholique.fr/",,,,,,"PARISH",
446,827,"ab/81/lisle-sur-tarn","102030","LISLE-MONTMIRAL","Paroisse",,"Paroisse Lisle - Montmiral3, place de Larmasse 81310 Lisle sur Tarn - Lisle : Tél: 05.63.40.64.20- Montmiral : Tél : 05.63.33.30.88 ","centreparoissial.lisle@orange.fr",,,,,,,,"PARISH",
447,827,"ab/81/lasgraisses","102023","Lasgraïsses","Paroisse",," ",,"+33563330113",,,,"05 63 33 01 13","+33 5 63 33 01 13","05 63 33 01 13","PARISH",
448,827,"ab/81/mazamet","102054","MAZAMET","Paroisse",,"Tél : 05 63 61 94 34Secrétariat ouvert

Lundi, Mardi, Jeudi, de 8h00 à 12h00 et de 13h30 à 15h30Mercredi de 8h00 à 12h00Vendredi de 8h00 à 12h00 et de 13h30 à 15h30






 ","cathomaza81@wanadoo.fr",,,,,,,,"PARISH",
449,827,"ab/12/montfranc","102034","MONTFRANC","Paroisse",,"Secteur Pastoral Alban – Le Fraysse – Montfranc - Villefranche► Alban Tel : 05 63 55 82 34secrétariat ouvert :mardi 8h-12h & Jeudi 8h-12hMèl : secretariatalban@orange.fr► Montfranc : 05 65 99 66 72► Villefranche d’Albigeois&nbsp; : 05 63 55 35 63 ",,,,,,,,,"PARISH",
450,827,"ab/81/puylaurens","102039","PUYLAURENS","Paroisse",,"05 63 75 01 01PermanenceJeudi, vendredi et samedi&nbsp;: de 10h à 12hMercredi de 10h à 12h.Du mardi au vendredi&nbsp;: de 15h30 à 18h ","paroissedepuylaurens@orange.fr",,,,,,,,"PARISH",
451,827,"ab/81/rabastens","102040","RABASTENS-St SULPICE-BEAUVAIS","Paroisse",,"► Accueil Rabastens 5 rue Toulouse-Lautrec - 81800 Rabastens Tél : 05 63 33 80 03Contact : paroisse.rabastens@orange.frPermanence : Lundi au vendredi de 14h30 à 17h30 ► Accueil Saint-Sulpice6 bis, avenue Pasteur - 81370 Saint-SulpiceTél. : 05 63 41 83 62 Contact : paroisse.st-sulpice@wanadoo.frPermanence :Lundi et Vendredi : 10h-12h et 14h-16hSamedi : 9h-12h ",,,,,,,,,"PARISH",
452,827,"ab/81/realmont","102041","REALMONT-LABESSONNIE","Paroisse",,"81120 RÉALMONT 2 Av Flandres Dunkerque 05 63 55 52 65paroisse.realmont@wanadoo.frAccueil : du lundi au vendredi de 9h à 12h et de 14h30 à 16h30.81360 MONTREDON-LABESSONNIÉ7 Place Saint-Jean 05 63 75 14 19montredon.labessonnie@gmail.comAccueil :les lundi, mercredi, jeudi et vendredi de 9h45 à 11h30; le mardi de 10h15 à 11h30 ","paroisse.realmont@wanadoo.fr",,"http://realmontais-montsdalban.catholique.fr/",,,,,,"PARISH",
453,827,"ab/81/saint-paul-cap-de-joux","102049","SAINT PAUL - VIELMUR","Paroisse",,"► 5 Place de l&#39;Hôtel de Ville 81220 Saint Paul Cap de Joux05 63 70 61 58► Maison Paroissiale 15 Bd des Platanes81570 VielmurPermanence : Jeudi de 10h00 à 11h30 ",,,,,,,,,"PARISH",
454,827,"ab/81/saix","102059","SAÏX","Paroisse",,"Téléphone : 05 63 74 71 63------------------Permanencelundi mardi jeudi vendredide 14h à 17h ","paroisse.saix@orange.fr",,,,,,,,"PARISH",
455,827,"ab/81/soreze","102310","SOREZE-DOURGNE","Paroisse",,"Permanences au Secrétariat :Mardi&nbsp;: 9H00 - 11H30Mercredi&nbsp;: 10H00 - 12H00&nbsp;/ 14H00 - 16H00Jeudi&nbsp;: 14H00 - 16H30Vendredi&nbsp;: 10h00-12h00Le secrétariat est fermé le Lundi
 ","de-soreze.paroisse@orange.fr","+33563741070",,,,"05 63 74 10 70","+33 5 63 74 10 70","05 63 74 10 70","PARISH",
456,827,"ab/81/albi","102011","Secteur paroissial Sainte-Cécile d’Albi (Albi Sud)","Paroisse",,"Secrétariat Sainte Cécile 5 Bd Gal SibilleSecrétariat Sainte-Cécile : 5 boulevard du Général-Sibille - Tél. : 05 63 43 23 43 - Ouvert du lundi au jeudi de 9 heures à12 heures et de 14 heures à 18 heures, le vendredi de 9 heures à 12 heures et de 14 heures à 17 heures et le samedi de 10 heures à12 heures.Secrétariat Saint-Joseph : 30 boulevard Montebello - Tél. : 05 63 54 15 16 - Ouvert le mardi de 9 heures à 12 heures et de14 heures à 16 h 45, le mercredi de 9 heures à 11 h 30, le jeudi de 9 heures à 12 heures et le vendredi de 9 heures à 12 heures et de13 h 30 à 16 h 45.Chapelle Saint-Martin 42 R J. Rieux Téléphone 05 63 60 27 64 ","accueil@paroissealbisud.com",,"http://www.paroisse-albi-sud.fr",,,,,,"PARISH",
457,827,"ab/81/valence-d-albigeois","102309","VALENCE D'ALBIGEOIS","Paroisse",," ",,"+33563564005",,,,"05 63 56 40 05","+33 5 63 56 40 05","05 63 56 40 05","PARISH",
